companyIds,groupId,name,email,password,roleId,isPlatformAdmin
"[""africa-new-life-church""]",africa-new-life,Pastor Samuel Mugisha,samuel@africa-new-life.com,password123,employee,
"[""africa-new-life-school""]",africa-new-life,Beatrice Ingabire,beatrice@africa-new-life.com,password123,employee,
"[""africa-new-life-hospital""]",africa-new-life,Dr. Claude Niyonzima,claude@africa-new-life.com,password123,employee,
"[""africa-new-life-church"",""africa-new-life-school"",""africa-new-life-hospital""]",africa-new-life,Diane Mutesi,owner@africa-new-life.com,password123,admin,
"[""mc-emmy-mushabizi"",""sophie-nzayisenga"",""inyamibwa-troupe""]",inganzo-bridge,,owner@inganzo-bridge,"1230",admin,
"[""mc-emmy-mushabizi""]",inganzo-bridge,MC Emmy Mushabizi,emmy@inganzo-bridge,"1230",admin,
"[""sophie-nzayisenga""]",inganzo-bridge,Sophie Nzayisenga,sophie@inganzo-bridge,"1230",admin,
"[""inyamibwa-troupe""]",inganzo-bridge,Inyamibwa Troupe,inyamibwa@inganzo-bridge,"1230",admin,
"[""electronics""]",,,owner@electronics.com,password123,admin,
"[""hardware""]",,,owner@hardware.com,password123,admin,
"[""insurance""]",,,owner@insurance.com,password123,admin,
"[""platform""]",,,admin@lev.rw,password123,admin,true
"[""personal""]",,,owner@personal.com,password123,admin,
"[""gym""]",,,owner@goldenh,1230,admin,
